english,urdu_ref,urdu_google,urdu_meta,bleu_google,bleu_meta
what did you say,میں واقعی حیران ہوں,تم نے کیا کہا,آپ نے کیا کہا,0.0,0.0
i am really shocked,میں بستر پر جاگتا پڑا تھا,میں واقعی حیران ہوں,میں واقعی شوک میں ہوں,9.688464563433238,8.745825313180632
i lay awake in bed,میں کچھ کاغذ چاہتے ہیں,میں بستر پر جاگتا ہوں۔,میں بیدار ہو کر بستر میں,10.682175159905853,8.116697886877475
i want some paper,زین سیکھنا چاہتا ہے,مجھے کچھ کاغذ چاہیے,میں کچھ کاغذ چاہتا ہوں,0.0,10.682175159905853
zain wants to learn,زین نے آج مریم کو دیکھا,زین سیکھنا چاہتا ہے۔,زینب سیکھنا چاہتا ہے,9.688464563433238,0.0
zain saw mary today,میں اسے اکثر فون کرتا ہوں,زین نے آج مریم کو دیکھا,زینب نے آج مریم کو دیکھا,0.0,0.0
i call her very often,اکیلے نہیں تھے,میں اسے اکثر فون کرتا ہوں۔,میں اس کو بہت اکثر بلاتا ہوں,0.0,0.0
were not alone,آپ کو آنا چاہئے,اکیلے نہیں تھے,اکیلے نہیں تھے,0.0,0.0
you should come,میں اس سے انکار نہیں کر سکتا,آپ کو آنا چاہیے,آپ آنا چاہئے,0.0,0.0
i cant deny it,میں شہر جا رہا ہوں,میں اس سے انکار نہیں کر سکتا,میں نے انکار کر دیا,6.567274736060395,10.682175159905853
i am going downtown,وہ تقریبا تیس سال کا ہے,میں شہر کے مرکز میں جا رہا ہوں۔,میں مرکز میں جا رہا ہوں,0.0,0.0
he is about thirty,میں اس سے حسد کرتا تھا,وہ تیس کے بارے میں ہے,وہ تقریباً تیس ہے,8.116697886877475,0.0
i was jealous of her,وہ بہت پاگل ہو گیا,میں اس سے حسد کرتا تھا۔,میں نے اس سے حسد کیا,0.0,0.0
he got very mad,مجھے یہ سننے دو,وہ بہت پاگل ہو گیا,وہ بہت پاگل ہو گیا,0.0,0.0
let me hear it,آپ کا دن اچھا گزرے,مجھے یہ سننے دو,مجھے سننے دیں,0.0,0.0
have a nice day,فاتح تھے,آپ کا دن اچھا گزرے۔,ایک اچھا دن ہے,0.0,0.0
were winners,میں ویڈیو گیمز کھیلنا پسند کرتا ہوں,فاتح تھے,جیتنے والے تھے,0.0,0.0
i love to play video games,ٹام سے ملنے چلتے ہیں,مجھے ویڈیو گیمز کھیلنا پسند ہے۔,میں ویڈیو کھیل کھیلنا پسند کرتا ہوں,0.0,0.0
lets go see tom,آپ کے ہاتھ ٹھنڈے ہیں,چلو ٹام کو دیکھتے ہیں۔,ٹام کو دیکھنے کے لئے,0.0,10.682175159905853
your hands are cold,میں مصیبت میں ہوں,آپ کے ہاتھ ٹھنڈے ہیں,آپ کے ہاتھ ٹھنڈے ہیں,0.0,0.0
i am in trouble,زین نے اپنا سر منڈا یا,میں مصیبت میں ہوں,میں مشکل میں ہوں,0.0,0.0
zain shaved his head,مجھے توجہ مرکوز کرنے کی ضرورت ہے,زین نے سر منڈایا,زینب نے اس کا سر پھینک دیا,0.0,0.0
i need to focus,میں نے آپ کے لئے یہ کیا,مجھے توجہ مرکوز کرنے کی ضرورت ہے۔,میں توجہ دینا چاہتا ہوں,0.0,7.160476144948854
i did this for you,تم کس سے محبت کرتے ہو,میں نے یہ آپ کے لیے کیا۔,میں نے یہ تمہارے لئے کیا,0.0,0.0
who do you love,زین ادا,تم کس سے محبت کرتے ہو,تم کس سے محبت کرتے ہو,0.0,0.0
zain paid,کیا آپ اسے سنبھال سکتے ہیں,زین ادا کیا,ادائیگی کے لئے,10.122592925934278,0.0
can you handle it,زین موٹا سر ہے,کیا آپ اسے سنبھال سکتے ہیں؟,آپ اس کا انتظام کر سکتے ہیں,0.0,0.0
zain is thickheaded,کیا آپ نے دستخط کر دیا,زین موٹا ہے,زینب بھاری ہے,0.0,0.0
did you sign,وہ تھوڑا قدامت پسند ہے,کیا آپ نے دستخط کیے؟,تم نے دستخط کیا,0.0,0.0
he is a bit conservative,یہ اچھی طرح سے جا رہا ہے,وہ تھوڑا قدامت پسند ہے,تھوڑا سا محافظه کار ہے,7.160476144948854,7.160476144948854
its going nicely,زین پر ہنسا,یہ اچھی طرح سے جا رہا ہے,اُس کی اچھی طرح سے,0.0,0.0
zain was laughed at,وہ بہت بھروسہ کر رہا ہے,زین کو ہنسی آگئی,زینب نے ہنستے ہوئے,0.0,0.0
he is too trusting,زین ہانپ گیا,وہ بہت پر اعتماد ہے,وہ بہت بھروسہ ہے,0.0,0.0
zain gasped,جانے دیں,زین ہانپ گیا,زینب کے پیسے,0.0,0.0
lets go,میں اس کی وضاحت نہیں کر سکتا,جانے دو,چلو جاؤ,0.0,0.0
i cant explain it,حقیقت خوفناک ہے,میں اس کی وضاحت نہیں کر سکتا,میں اس کی وضاحت کر سکتا ہوں,0.0,0.0
reality is scary,یہ ایک کتاب ہے,حقیقت خوفناک ہے,حقیقت خوفناک ہے,19.716118825581447,19.716118825581447
this is a book,میں نے ایک شہر کے نقشے کی طرح تھا,یہ ایک کتاب ہے,یہ ایک کتاب ہے,4.576506607182439,4.576506607182439
i had like a city map,میرا کیمرہ ایک نکون ہے,میرے پاس شہر کا نقشہ تھا۔,میں نے ایک شہر کا نقشہ کی طرح تھا,0.0,4.767707020457095
my camera is a nikon,کیا مزہ,میرا کیمرہ ایک نیکون ہے۔,کیمرے ایک نیکون ہے,0.0,0.0
what fun,میں چٹان سے محبت کرتا ہوں,کیا مزہ ہے,کیا مزہ ہے,0.0,0.0
i love rock,میں اب بھی اس سے محبت کرتا ہوں,میں راک سے محبت کرتا ہوں,میں راک سے محبت کرتا ہوں,38.49815007763549,38.49815007763549
i still love him,تولیے گندے ہیں,میں اب بھی اس سے پیار کرتا ہوں۔,میں اس سے محبت کرتا ہوں,0.0,0.0
the towels are dirty,وہ اتنا لمبا نہیں ہے,تولیے گندے ہیں,کپڑے کثافت ہیں,0.0,0.0
he is not so tall,میں نہیں جا سکتا,وہ اتنا لمبا نہیں ہے۔,وہ اتنا بڑا نہیں ہے,10.682175159905853,10.682175159905853
i cant go,وہ پانچ میل دوڑا,میں نہیں جا سکتا,میں جا رہا ہوں,0.0,0.0
he ran five miles,میں چڑیل نہیں ہوں,وہ پانچ میل بھاگ گیا,وہ پانچ میل چلتا ہے,0.0,0.0
i am not a witch,اس نے آپ پر بھروسہ کیا,میں ڈائن نہیں ہوں۔,میں جادوگر نہیں ہوں,0.0,0.0
he trusted you,جس نے اسے ہٹادیا,اس نے تم پر بھروسہ کیا۔,وہ تم پر بھروسہ کرتا ہے,8.116697886877475,0.0
who removed it,ہم امن چاہتے ہیں,جس نے اسے ہٹا دیا,جس نے اسے نکال دیا,0.0,0.0
we want peace,یہ مزہ ہونا چاہئے,ہم امن چاہتے ہیں,ہم امن چاہتے ہیں,0.0,0.0
this should be fun,زین کیا کرنا چاہئے,یہ مذاق ہونا چاہئے,یہ مذاق ہونا چاہئے,15.97357760615681,15.97357760615681
what should zain do,اس نے مجھے ایک سوٹ بنایا,زین کو کیا کرنا چاہیے,کیا کرنا چاہئے,0.0,0.0
he made me a suit,میں لڑکے کو جانتا ہوں,اس نے مجھے ایک سوٹ بنایا,اس نے مجھے ایک کپڑا بنا دیا,0.0,0.0
i know the boy,میرا پیٹ بھرا ہوا ہے,میں لڑکے کو جانتا ہوں۔,میں لڑکے کو جانتا ہوں,0.0,0.0
my stomach is full,آگ بجھ گئی۔,میرا پیٹ بھرا ہوا ہے۔,میرا پیٹ بھرا ہوا ہے,0.0,0.0
the fire went out,میں نے ان پر یقین نہیں کیا,آگ نکل گئی,آگ باہر نکل گئی,0.0,0.0
i didnt believe them,میں ٹام کو مارنا چاہتا ہوں,میں نے ان پر یقین نہیں کیا۔,میں نے ان پر یقین نہیں کیا,6.567274736060395,6.567274736060395
i want to kill tom,کیا گرم دن ہے,میں ٹام کو مارنا چاہتا ہوں۔,میں تام کو قتل کرنا چاہتا ہوں,0.0,0.0
what a hot day,آپ اسے بنا سکتے ہیں,کتنا گرم دن ہے,کیا گرم دن ہے,0.0,0.0
you can make it,وہ ایک ٹینس کھلاڑی ہے,آپ اسے بنا سکتے ہیں,آپ کر سکتے ہیں,0.0,0.0
he is a tennis player,میں یہ اپنی والدہ کے لیے چنوں گا۔,وہ ایک ٹینس کھلاڑی ہے,وہ ایک ٹینس کھلاڑی ہے,0.0,0.0
i will choose them for my mother,میں اتنا دور نہیں دیکھ سکتا,میں انہیں اپنی ماں کے لیے منتخب کروں گا۔,میں ان کو اپنی ماں کے لئے منتخب کروں گا,4.767707020457095,4.196114906296549
i cant see that far,وہ گھومتے پھرتے تھے,میں اتنا دور نہیں دیکھ سکتا,میں اس دور کو دیکھتا ہوں,0.0,0.0
they walked around,کیا میں آپ کو گلے لگا سکتا ہوں,وہ ارد گرد چل رہے تھے,وہ گھومتے تھے,0.0,0.0
can i give you a hug,اسے میری نظروں سے ہٹا دو,کیا میں آپ کو گلے لگا سکتا ہوں؟,میں تمہیں ایک بوجھ دے سکتا ہوں,0.0,0.0
get him out of my sight,میں ٹھیک ہوں,اسے میری نظروں سے دور کر دو,اسے میری آنکھوں سے نکال دو,0.0,0.0
i am all right,یہ عجیب لگ سکتا ہے,میں ٹھیک ہوں,میں سب صحیح ہوں,0.0,0.0
it may seem odd,جانے کے لیے تیار تھے,یہ عجیب لگ سکتا ہے,عجیب لگ سکتا ہے,0.0,0.0
were ready to go,زین کے پاس ایک ہتھیار تھا,جانے کے لیے تیار تھے۔,جانے کے لئے تیار تھے,8.745825313180632,8.745825313180632
zain had a weapon,جنت جانتی ہے کیوں,زین کے پاس ہتھیار تھا۔,زینب کے پاس ایک ہتھیار تھا,0.0,0.0
heaven knows why,اس نے تمباکو نوشی چھوڑ دی,جنت جانتا ہے کیوں,آسمان جانتا ہے کیوں,0.0,0.0
she stopped smoking,زین کو کوٹ کی ضرورت ہے,اس نے تمباکو نوشی چھوڑ دی,تمباکو نوشی چھوڑ دیں,0.0,0.0
zain needs a coat,میری بیوی پاگل ہے,زین کو کوٹ کی ضرورت ہے۔,زینب کو کپڑے کی ضرورت ہے,0.0,8.116697886877475
my wife is mad,وہ سخت محنت کرتی ہے,میری بیوی پاگل ہے,میری بیوی پاگل ہے,12.44023474812678,12.44023474812678
she works hard,کیا آپ کے پاس کچھ پیسے ہیں,وہ سخت محنت کرتا ہے,وہ سخت کام کرتا ہے,0.0,0.0
do you have some money,انہوں نے گلے لگایا,کیا آپ کے پاس کچھ پیسے ہیں؟,کیا آپ کے پاس کچھ پیسہ ہے,0.0,0.0
they hugged,وہ رکن نہیں ہے,انہوں نے گلے لگایا,وہ پکڑتے ہیں,0.0,19.716118825581447
he is not a member,صحافی تھے,وہ ایک رکن نہیں ہے,وہ عضو نہیں ہے,0.0,0.0
were journalists,کیا یہ واقعی آپ ہیں,صحافی تھے,صحافی تھے,0.0,0.0
is it really you,یہ اب بھی ہو رہا ہے,کیا یہ واقعی آپ ہیں؟,کیا آپ واقعی ہیں,8.745825313180632,0.0
its still happening,کاش میں وہاں ہوتا,یہ اب بھی ہو رہا ہے,اب بھی ہو رہا ہے,0.0,0.0
i wish i were there,میں نے خود کو کاٹ لیا ہے,کاش میں وہاں ہوتا,میں چاہتا ہوں کہ میں وہاں ہوں,7.545383788761362,6.567274736060395
i have cut myself,وہ ایک انگریز ہے,میں نے خود کو کاٹ لیا ہے۔,میں نے اپنے آپ کو کاٹ دیا,0.0,0.0
he is an englishman,مجھے نفرت ہے اُس کتاب سے۔,وہ ایک انگریز ہے,وہ انگریزی ہے,9.688464563433238,10.122592925934278
i hate that book,پردہ گر گیا,مجھے اس کتاب سے نفرت ہے۔,مجھے اس کتاب سے نفرت ہے,0.0,0.0
the curtain fell,ٹام نے پوچھا کہ کیا اسے ٹائی پہننے کی ضرورت ہے,پردہ گر گیا,دیوار گر گئی,0.0,0.0
tom asked if he needed to wear a tie,آپ کو بوسٹن پسند نہیں ہے,ٹام نے پوچھا کہ کیا اسے ٹائی پہننے کی ضرورت ہے۔,ٹام نے پوچھا کہ کیا اس کو کپڑے پہننے کی ضرورت ہے,0.0,4.02724819242185
dont you like boston,کیا آپ سبزی خور ہیں,آپ کو بوسٹن پسند نہیں ہے۔,آپ کو بوسٹن پسند نہیں ہے,8.116697886877475,8.116697886877475
are you a vegetarian,آپ نے ایسا کیوں کیا,کیا آپ سبزی خور ہیں؟,کیا آپ سبزیوں ہیں,12.70331870386537,14.794015674776452
why did you do that,انہوں نے مجھے دوپہر کے کھانے پر مدعو کیا ہے,تم نے ایسا کیوں کیا,آپ نے یہ کیوں کیا,4.673289785800724,4.673289785800724
they have invited me to lunch,دودھ کی بوتلیں ابال یں,انہوں نے مجھے دوپہر کے کھانے پر مدعو کیا ہے۔,وہ مجھے دوپہر کے کھانے کے لئے دعوت دیتے ہیں,0.0,0.0
boil the milk bottles,گرم کپڑے پہننا,دودھ کی بوتلوں کو ابالیں,پیاز کی بوتلوں کو پکائیں,0.0,0.0
wear warm clothes,میں مصروف رہا ہوں,گرم کپڑے پہنو,گرم کپڑے پہننا,0.0,0.0
i’ve been busy,قیمتیں بڑھ رہی ہیں۔,میں مصروف رہا,میں مصروف ہوں,0.0,0.0
prices are rising,میں بہترین میں کر سکتا ہوں,قیمتیں بڑھ رہی ہیں,قیمتوں میں اضافہ,0.0,10.122592925934278
i do the best i can,میرا نام شاکر ہے,میں اپنی پوری کوشش کرتا ہوں۔,میں سب سے بہتر کر سکتا ہوں,0.0,0.0
my name is shakir,تم نے مجھے ایک مردہ نیند سے باہر کر دیا,میرا نام شاکر ہے۔,میرا نام شاکر ہے,0.0,0.0
you made me out of a dead sleep,کیا آپ اب گھر واپس آ گئے ہیں,تم نے مجھے مردہ نیند سے نکالا۔,تم نے مجھے ایک مردہ خواب سے نکال دیا,0.0,0.0
are you back home now,میں وکیل بننا چاہتا ہوں,کیا آپ ابھی گھر واپس ہیں؟,اب آپ گھر واپس آتے ہیں,0.0,0.0
i want to be a lawyer,آپ کس طرح کر رہے ہیں,میں وکیل بننا چاہتا ہوں۔,میں ایک وکیل بننا چاہتا ہوں,0.0,0.0
how you are doing,وہ جلدی سے بور ہو گیا,آپ کیسے کر رہے ہیں,آپ کیسے کر رہے ہیں,0.0,0.0
he got bored quickly,وہ میرا کزن نہیں ہے,وہ جلدی بور ہو گیا,وہ تیزی سے تھک گیا,10.682175159905853,10.682175159905853
he isnt my cousin,اسے بدہضمی ہے,وہ میرا کزن نہیں ہے۔,وہ میرا بہن بھائی ہے,0.0,10.682175159905853
he has indigestion,میں نے ایک پٹھوں کو کھینچا,اسے بدہضمی ہے,وہ بے وقوف ہے,0.0,0.0
i pulled a muscle,مجھے کوئی اندازہ نہیں ہے ۔,میں نے ایک پٹھوں کو کھینچ لیا,میں نے ایک عضلات کو پکڑا,0.0,0.0
i have no idea,میرا تعلق برازیل سے ہے۔,مجھے کوئی اندازہ نہیں ہے۔,مجھے کوئی خیال نہیں,10.682175159905853,0.0
i am from brazil,استاد نے میری پیٹھ پر مجھے تھپکی دی۔,میں برازیل سے ہوں,میں برازیل سے ہوں,0.0,0.0
the teacher patted me on the back,میرا فون ٹوٹ گیا تھا,استاد نے میری پیٹھ پر تھپکی دی۔,استاد نے مجھے پیچھے ہٹایا,0.0,0.0
my phone was broken,اس مہربانی کے لئے آپ کا شکریہ,میرا فون ٹوٹ گیا تھا,میرے فون کو توڑ دیا گیا,0.0,0.0
thank you for this kindness,کل گرم تھا,اس مہربانی کے لیے آپ کا شکریہ,آپ کا شکریہ اس مہربانی کے لئے,0.0,0.0
yesterday was hot,اس کے قابل نہیں ہے,کل گرم تھا,گرمی کا دن تھا,0.0,0.0
its not worth it,"<ph id=""mtc_1"" equiv-text=""base64:Jmx0O2JyJmd0Ow==""/> میں آپ کی کیسے مدد کر سکتا ہوں؟",یہ اس کے قابل نہیں ہے,اس کا کوئی فائدہ نہیں,0.0,0.0
how can i help you,وہ پڑھ اور لکھ سکتا ہے,میں آپ کی مدد کیسے کر سکتا ہوں,میں تمہاری مدد کیسے کر سکتا ہوں,5.522397783539471,6.567274736060395
he can read and write,پیانو کافی مہنگا ہے۔,وہ پڑھ اور لکھ سکتا ہے,وہ پڑھ سکتے ہیں اور لکھ سکتے ہیں,0.0,0.0
a piano is expensive,یہ میرا گھوڑا,ایک پیانو مہنگا ہے,پینٹنگ بہت مہنگا ہے,0.0,0.0
its my horse,ہم بدل گئے ہیں,یہ میرا گھوڑا ہے,میرا گھوڑا,0.0,0.0
we have changed,میں نے گھنٹی کی گھنٹی سنی,ہم بدل گئے ہیں,ہم بدل گئے ہیں,0.0,0.0
i heard the bell ring,زین کا کہنا ہے کہ اس سے تکلیف ہوتی ہے,میں نے گھنٹی کی آواز سنی,میں نے آواز کے انگوٹھی کو سنا,0.0,0.0
zain says it hurts,میں ایک مشہور شخصیت نہیں ہوں,زین کہتا ہے درد ہوتا ہے۔,زینب کا کہنا ہے کہ یہ درد ہے,0.0,0.0
i am not a celebrity,کوئی بھی اس کا مستحق نہیں ہے,میں مشہور شخصیت نہیں ہوں۔,میں مشہور نہیں ہوں,7.160476144948854,7.545383788761362
nobody deserves that,میں پیرس میں رہا ہوں,کوئی بھی اس کا مستحق نہیں ہے,کوئی بھی اس کے مستحق نہیں ہے,0.0,0.0
i have been in paris,میں شرکت کرنا چاہتا ہوں,میں پیرس میں رہا ہوں۔,میں نے پیرس میں تھا,10.682175159905853,10.682175159905853
i want to participate,یہاں کچھ بھی نہیں ہے,میں حصہ لینا چاہتا ہوں۔,میں حصہ لینا چاہتا ہوں,0.0,0.0
there is nothing here,زین نے خود کو چوٹ پہنچائی,یہاں کچھ نہیں ہے,یہاں کچھ نہیں ہے,0.0,0.0
did zain hurt himself,کون ادائیگی کر رہا ہے,زین نے خود کو زخمی کیا,زینب نے خود کو نقصان پہنچایا,0.0,0.0
whos paying,سب متفق تھے,کون ادا کر رہا ہے,کس کی ادائیگی,0.0,0.0
everyone agreed,جھوٹ نہ بولیں,سب نے اتفاق کیا,سب نے اتفاق کیا,0.0,0.0
dont tell a lie,کون سی کار ٹومز ہے,جھوٹ مت بولو,ایک جھوٹ نہ کہو,0.0,0.0
which car is toms,ہمیں مزید وقت درکار ہے,کون سی کار ٹومس ہے؟,ٹام کون سی گاڑی ہے,0.0,10.682175159905853
we need more time,وہ اپنے بچوں کو ہر روز اسکول لے جاتے ہیں,ہمیں مزید وقت کی ضرورت ہے,ہمیں زیادہ وقت کی ضرورت ہے,0.0,0.0
they drive their kids to school every day,ہر کوئی زندہ ہے,وہ ہر روز اپنے بچوں کو اسکول لے جاتے ہیں۔,وہ اپنے بچوں کو ہر روز اسکول لے جاتے ہیں,4.196114906296549,4.196114906296549
everybody is alive,آپ باہر کیوں چلے گئے,ہر کوئی زندہ ہے,ہر کوئی زندہ ہے,0.0,0.0
why did you move out,تالاب پر جم گیا,تم باہر کیوں چلے گئے,آپ کیوں چلے گئے,0.0,0.0
the pond froze over,اسے شہر کے گرد لے جاؤ,تالاب جم گیا,ٹھنڈا ہو گیا ہے,0.0,0.0
take him round the city,میں بستر پر جاؤں,اسے شہر کے گرد لے جاؤ,اسے شہر کے ارد گرد لے جاؤ,0.0,0.0
may i go to bed,یہ مشکل ہے,کیا میں بستر پر جا سکتا ہوں؟,میں بستر پر جا سکتا ہوں,0.0,0.0
this is difficult,اس نے اسے معاف کر دیا ہے,یہ مشکل ہے,یہ مشکل ہے,7.253154775624655,7.253154775624655
she has forgiven him,میں نے کل چائے پی تھی,اس نے اسے معاف کر دیا,اس نے اسے معاف کر دیا,8.116697886877475,8.116697886877475
i drank tea yesterday,وہ انتہائی خوش ہے,میں نے کل چائے پی تھی۔,میں چائے پیتا تھا,0.0,0.0
he is extremely happy,میں اسے کیسے رکھوں گا,وہ بہت خوش ہے,وہ بہت خوش ہے,0.0,0.0
how shall i put it,ٹام کو لے جاؤ,میں اسے کیسے ڈالوں,میں اسے کیسے رکھوں گا,0.0,0.0
take tom,اس کی بے سود,ٹام لے لو,ٹام لے جاؤ,0.0,0.0
its futile,کیا آپ کو کیڑے پسند ہیں,یہ بیکار,اپنی بے فائدہ,0.0,0.0
do you like bugs,اس کی طرح خوفناک,کیا آپ کو کیڑے پسند ہیں؟,کیا آپ بوجھ پسند کرتے ہیں؟,0.0,0.0
its kind of creepy,میں آپ کی طرح نہیں ہوں,اس کی قسم ڈراونا,اس طرح کے کریڈٹ,9.688464563433238,9.688464563433238
i am not like you,یہ کمرہ ہے,میں تم جیسا نہیں ہوں۔,میں تم کی طرح نہیں ہوں,0.0,0.0
this is room,پیسہ لوگوں کو تبدیل کرتا ہے,یہ کمرہ ہے,یہ کمرے ہے,10.122592925934278,10.122592925934278
money changes people,ٹام وسائل ضائع کر رہا ہے,پیسہ لوگوں کو بدل دیتا ہے۔,پیسہ لوگوں کو بدلتا ہے,0.0,8.745825313180632
tom is wasting resources,میں اسے ایک حقیقت کے لئے جانتا ہوں,ٹام وسائل ضائع کر رہا ہے۔,ٹام نے پیسہ کھو دیا,0.0,0.0
i know it for a fact,میں نے بلی کو بچالیا,میں اسے ایک حقیقت کے لیے جانتا ہوں۔,میں جانتا ہوں ایک حقیقت کے لئے,5.522397783539471,6.567274736060395
i rescued the cat,صرف ایک سیکنڈ انتظار کریں,میں نے بلی کو بچایا,میں نے گھوڑے کو بچایا,0.0,0.0
wait just a second,میں اکیلا جانا ضروری ہے,صرف ایک سیکنڈ انتظار کرو,صرف ایک سیکنڈ انتظار کریں,0.0,0.0
i must go alone,یہ ڈیسک ٹوٹ گیا ہے,مجھے اکیلے جانا ہے۔,میں اکیلا جانا چاہتا ہوں,0.0,0.0
this desk is broken,میں نے تیس پش اپ کیے,یہ میز ٹوٹ گیا ہے,اس میز کو توڑ دیا گیا,0.0,0.0
i did thirty pushups,جو گھڑی پر ہے,میں نے تیس پش اپ کئے,میں نے 30 پاؤڈر بنائے,0.0,0.0
whos on watch,میں اچھی حالت میں نہیں ہوں,کون دیکھ رہا ہے,کس کو دیکھتے ہیں,0.0,0.0
i am not in good shape,زین نے دیکھا,میں اچھی حالت میں نہیں ہوں۔,میں اچھی شکل میں نہیں ہوں,0.0,0.0
zain looked,مچھلی براہ مہربانی,زین نے دیکھا,زینب دیکھتا ہے,0.0,0.0
fish please,میں بہت مصروف ہوں,مچھلی براہ مہربانی,مچھلی براہ مہربانی,0.0,0.0
i am very busy,کچھ مچھلیاں اڑتی ہیں,میں بہت مصروف ہوں,میں بہت مصروف ہوں,0.0,0.0
some fish fly,مجھ پر بھروسہ,کچھ مچھلیاں اڑتی ہیں۔,کچھ مچھلی پرواز,0.0,0.0
trust in me,مجھے قے کی طرح لگتا ہے,مجھ پر بھروسہ کرو,مجھے بھروسہ,0.0,6.7667641618306344
i feel like vomiting,ہر کوئی رہا,مجھے الٹی کی طرح محسوس ہوتا ہے۔,مجھے لگتا ہے کہ میں بھوکا ہوں,0.0,0.0
everybody stayed,آپ کا گھر کتنا بڑا ہے,سب ٹھہرے,ہر کوئی رہتا ہے,0.0,9.688464563433238
how big is your house,ہمیں انہیں متنبہ کرنا چاہئے,آپ کا گھر کتنا بڑا ہے؟,آپ کا گھر کتنا بڑا ہے,0.0,0.0
we must warn them,وہ اچھی فطرت کی ہے,ہمیں انہیں خبردار کرنا چاہیے,ہمیں ان کو خبردار کرنا چاہئے,0.0,0.0
she is goodnatured,چادریں گندی ہیں,وہ نیک فطرت ہے,اُس کی خوبصورتی ہے,0.0,0.0
the sheets are dirty,آپ میرا قرض لے سکتے ہیں,چادریں گندی ہیں,چمڑے کثافت ہیں,10.122592925934278,10.122592925934278
you can borrow mine,اتنا شائستہ نہ بنیں,آپ میرا قرض لے سکتے ہیں۔,آپ مجھے قرض دے سکتے ہیں,0.0,0.0
dont be so modest,میں کھا چکا,اتنا معمولی مت بنو,اتنا متواضع نہ ہونا,0.0,0.0
i have eaten,میں مترجم ہوں,میں نے کھا لیا ہے,میں نے کھایا,10.682175159905853,27.516060407455225
i am a translator,میں نے فرانسیسی میں ایک مل گیا,میں ایک مترجم ہوں۔,میں ترجمہ ہوں,15.090767577522726,7.253154775624655
i got an a in french,میں اسے نہیں روک سکتا,مجھے فرانسیسی میں ایک ملا ہے۔,میں نے ایک فرانسیسی میں ایک,8.116697886877475,8.116697886877475
i cannot stop her,ٹام شرمیلا ہے۔,میں اسے نہیں روک سکتا,میں اسے روک نہیں سکتا,0.0,0.0
tom's shy,مجھے منافقت سے نفرت ہے,ٹام شرمیلا ہے,ٹام کی شرمندگی,14.127216461522432,0.0
i hate hypocrisy,آپ پریشان نظر آتے ہیں,مجھے منافقت سے نفرت ہے۔,میں ناکامی سے نفرت کرتا ہوں,0.0,0.0
you look upset,آپ کو دیر کیوں ہوئی,آپ پریشان نظر آتے ہیں,آپ غمگین نظر آتے ہیں,10.682175159905853,10.682175159905853
why were you late,کسی کو برطرف نہیں کیا جائے گا,آپ کو دیر کیوں ہوئی؟,تم دیر کیوں ہو,7.160476144948854,0.0
no one will be fired,میں آپ کی ہمت کی تعریف کرتا ہوں,کسی کو برطرف نہیں کیا جائے گا,کوئی بھی نکال دیا جائے گا,0.0,0.0
i admire your courage,یہ سچ نہیں ہے,میں آپ کی ہمت کی تعریف کرتا ہوں۔,میں تمہاری شجاعت کی تعریف کرتا ہوں,0.0,0.0
it isnt true,ہم مہینے میں ایک بار ملتے ہیں,یہ سچ نہیں ہے,یہ سچ نہیں ہے,0.0,0.0
we meet once a month,یہ کھانا کس کا ہے,ہم مہینے میں ایک بار ملتے ہیں,مہینے میں ایک بار ملاقات,0.0,0.0
whose is this food,آسمان اندھیرا ہو گیا,یہ کھانا کس کا ہے؟,یہ کھانا کس کا ہے,0.0,0.0
the sky turned dark,یہ مسحور کن تھا,آسمان سیاہ ہو گیا,آسمان اندھیرا ہو گیا,0.0,0.0
it was mesmerizing,کیا آپ کو بارش پسند ہے,یہ مسحور کن تھا,یہ مزاحمت ہے,0.0,10.122592925934278
do you like rain,وہ میری بیٹی ہے,کیا آپ کو بارش پسند ہے؟,تمہیں بارش پسند ہے,0.0,15.97357760615681
shes my daughter,یہ میرے احکامات ہیں,وہ میری بیٹی ہے,میری بیٹی کو ہراساں,0.0,0.0
those are my orders,ان کے ہونٹ ملے,یہ میرے احکامات ہیں۔,یہ میرے احکام ہیں,0.0,0.0
their lips met,کیا آپ ہمیں یاد کرتے ہیں,ان کے ہونٹ ملے,ان کے منہ ملے,0.0,0.0
do you remember us,کسی طرح,کیا آپ ہمیں یاد کرتے ہیں؟,ہمیں یاد آتا ہے,0.0,0.0
somehow,میں ہفتے میں دو بار جوگ کرتا ہوں,کسی نہ کسی طرح,کسی طرح,0.0,0.0
i jog twice a week,تمھيں معلوم ہے,میں ہفتے میں دو بار جاگ کرتا ہوں۔,میں ہفتے میں دو بار چلتا ہوں,0.0,0.0
do you know them,میں نے آپ کو دس ڈالر واجب الادا,کیا آپ انہیں جانتے ہیں؟,کیا آپ ان کو جانتے ہیں,5.862502026550899,6.916271812933183
i owe you ten dollars,ایک معاہدہ ایک معاہدہ ہے,میں آپ کا دس ڈالر کا مقروض ہوں۔,میں آپ کو دس ڈالر کی ضرورت ہے,0.0,5.522397783539471
a deal is a deal,زین نے یہ نہیں کہا,ایک سودا ایک سودا ہے,ایک معاہدہ ایک معاہدہ ہے,0.0,0.0
zain didnt say that,ہم ہر صبح ٹینس کھیلتے ہیں,زین نے ایسا نہیں کہا,زینب کا کہنا ہے کہ,0.0,0.0
we play tennis every morning,میں نے گناہ کیا ہے,ہم ہر صبح ٹینس کھیلتے ہیں۔,ہم ہر صبح ٹینس کھیلتے ہیں,0.0,0.0
